name,Cuisine_type,protein,carbohydrate,total_fat,Estimated_Weight(g),calories
Paleo Crepes recipes,french,32.02,93.75,74.23,200,1171.15
Paleo Taco Bowl,mexican,72.06,39.67,88.27,200,1241.35
Crockpot Drumsticks | Paleo,american,111.41,32.95,55.64,200,1078.2
Paleo Whole30 Meatballs,italian,92.94,47.42,59.64,200,1098.2
Grilled Cilantro Lime Chicken recipes,mediterranean,136.49,20.45,43.06,200,1015.3
"5-Min Microwave Paleo Chocolate Cake Recipe [Paleo, GF]",american,27.83,85.29,86.88,200,1234.4
Paleo Cabbage Hash,french,96.32,48.56,55.12,200,1075.6
Paleo Zucchini Hummus,mediterranean,31.29,59.37,109.34,200,1346.7
Paleo Venison Burgers,french,121.94,33.82,44.24,200,1021.2
Paleo Orange Chicken,french,109.03,51.57,39.4,200,997
Tasty Paleo Borscht,nordic,24.54,135.46,40,200,1000
Paleo Paella recipes,mediterranean,111.36,65.5,23.13,200,915.61
Paleo Mushroom Risotto,italian,30.27,103.05,66.69,200,1133.49
Paleo Shrimp Scampi,chinese,146.95,33.33,19.72,200,898.6
Chicken Creole,american,99.53,46.72,53.74,200,1068.66
Paleo Shrimp Scampi,chinese,146.84,33.44,19.72,200,898.6
Paleo Zucchini Fritters,south east asian,53.31,116.66,30.03,200,950.15
"Paleo Shrimp Linguini (Gluten Free, Grain Free, Paleo)",italian,64.94,51.15,83.91,200,1219.55
Paleo Salmon Croquette,nordic,62.78,60.64,76.57,200,1182.81
Paleo Seafood Chili,american,106.83,70.25,22.92,200,914.6
Paleo Crab Cakes,eastern europe,111.36,19.93,68.72,200,1143.64
Paleo Orange Chicken,french,92,51.08,56.93,200,1084.69
Paleo Plantain Falafel,south american,24.48,151.1,24.42,200,922.1
Paleo Chilli Bowl,italian,35.77,144.69,19.54,200,897.7
Paleo Artichoke Bruschetta,mediterranean,24.52,84.02,91.46,200,1257.3
Paleo Dirty Rice,caribbean,38.69,117.71,43.6,200,1018
paleo meatloaf with apples,american,115.08,37.79,47.13,200,1035.65
"Tayste of Paleo, Paleo Brussel Sprout, Kale & Peach Salad",mediterranean,99.39,69.08,31.53,200,957.65
Hearty Paleo Chili,american,79.18,72.16,48.66,200,1043.3
Dreamy Hasselback Apples recipes,american,15.38,110.82,73.81,200,1169.09
Paleo Jambalaya recipes,american,107.86,57.24,34.89,200,974.41
Paleo Pad Thai,south east asian,68.17,70.96,60.87,200,1104.35
Paleo cauliflower crunch,nordic,68.19,52.11,79.71,200,1198.59
"Seared Scallops with Sweet Corn Purée, Crumbled Bacon, and Tomato Chive Salsa",south american,49.75,96.29,53.96,200,1069.8
Paleo Antipasto Salad,italian,80.39,76.52,43.1,200,1015.54
Paleo Steak and Veggies,american,96.43,52,51.57,200,1057.85
Gluten Free Chicken Marsala recipes,italian,134.96,34.53,30.51,200,952.55
Creole Apple Turkey Burgers,american,121.08,33.02,45.9,200,1029.5
Italian Primal Pizza with Free-Range Chicken,italian,55.77,84.13,60.11,200,1100.59
Slow Cooker Red Pepper Paprika Chicken recipes,mediterranean,132.34,41.15,26.52,200,932.64
Healthy Turkey Meatloaf,american,104.19,54.47,41.34,200,1006.7
Paleo Chocolate Protein Truffles,american,99.53,40.79,59.68,200,1098.4
Slow Cooker Pumpkin Salsa Shredded Beef,mexican,138.11,22.07,39.82,200,999.1
Najib's Special Lebanese Cauliflower recipes,mediterranean,34.13,111.81,54.06,200,1070.3
Paleo Chocolate Protein Truffles,american,88.13,58.89,52.98,200,1064.9
Stuffed Pork Tenderloin recipes,american,132.53,34.78,32.68,200,963.36
Easy Paleo Chicken Fajitas,mexican,75.5,56.75,67.76,200,1138.84
Easy Lemon Curd (paleo),french,24.57,150.99,24.44,200,922.2
Fluffy Paleo Cauliflower Mash,american,39.2,100.01,60.79,200,1103.95
Paleo Spaghetti Squash Primavera,italian,24.04,128.74,47.22,200,1036.1
Paleo Garlic Mashed Cauliflower,mediterranean,25.62,66.35,108.03,200,1340.15
10 Paleo Lunch Ideas,italian,24.69,128.98,46.33,200,1031.65
Blueberry and macadamia yoghurt bark,french,29.9,89.12,80.98,200,1204.9
Paleo Cauliflower Rice recipes,mediterranean,36.75,97.28,65.97,200,1129.85
The Best Paleo Ketchup,italian,28.44,147,24.56,200,922.8
Zucchini Noodles with Shrimp,asian,109.4,41.75,48.85,200,1044.25
Easy Paleo Cauliflower Rice,mediterranean,38.84,104.56,56.6,200,1083
Crab Stuffed Mushrooms recipes,american,58.27,26.64,115.09,200,1375.45
Paleo Avocado Tuna Salad,mexican,73.94,55.3,70.75,200,1153.71
Paleo Sweet Potato Waffles,american,57.57,96.16,46.27,200,1031.35
Paleo Cumin Cauliflower Rice,indian,32.46,132.45,35.09,200,975.45
Paleo Egg Drop Soup,chinese,60.93,74.08,64.99,200,1124.95
Paleo Berry Compote or Cobbler,french,25.94,94.42,79.64,200,1198.2
Paleo Pureed Cauliflower recipes,american,27.08,70.53,102.38,200,1311.86
Sweet Potato Hash recipes,american,35.12,80.73,84.15,200,1220.75
Paleo green bean recipe,american,44.71,53.26,102.04,200,1310.24
Sunday Slow Cooker: Thai Curry Ground Beef recipes,south east asian,121.42,40.47,38.1,200,990.46
Kitchen Sink Paleo Lunch,american,120.55,33.18,46.27,200,1031.35
Sunday Slow Cooker: Thai Curry Ground Beef recipes,south east asian,121.42,40.47,38.1,200,990.46
Kitchen Sink Paleo Lunch,american,120.55,33.18,46.27,200,1031.35
Spiked Vegan Eggnog,american,53.44,97.44,49.12,200,1045.6
Vegan Chicken Nuggets,american,102.44,68.97,28.59,200,942.95
Vegan Stroganoff recipes,american,80.79,62.34,56.87,200,1084.35
Vegan Scallops,american,56.93,119,24.07,200,920.35
Vegan Caesar Salad Dressing,american,42.07,56,101.93,200,1309.65
Asparagus and Arugula Pizza with Vegan Pesto,italian,33.35,110.9,55.75,200,1078.75
Gluten-Free Walnut & Portobello Mushroom Vegan Burgers,american,42.54,119.61,37.85,200,989.25
Gluten-Free Walnut & Portobello Mushroom Vegan Burgers,american,41.55,110.84,47.6,200,1037.96
Vegan Pav-Bhaji,american,23.72,133.13,43.15,200,1015.75
"Vegan ""B.L.A.T.""s: Lettuce, Tomato, Avocado, and Crispy Smoked Mushroom Sandwiches Recipe",american,29.09,107.67,63.24,200,1116.2
Vegan Italian Roasted Eggplant Bisque,american,31.96,115.83,52.21,200,1061.05
Tomato and basil bruschetta (for vegans and non vegans alike),american,27.94,108.7,63.37,200,1116.89
Vegan Queso,american,51.57,73.6,74.84,200,1174.24
Vegan Gravy,american,34.72,106.09,59.19,200,1095.95
Vegan Gravy,american,18.32,106.08,75.61,200,1178.09
Cherry Tomato Zucchini Noodles,asian,35.07,121.68,43.24,200,1016.16
Vegan cashew Parmesan,american,61.66,68.13,70.21,200,1151.05
Vegan Cauliflower Soup,american,56.96,79.29,63.75,200,1118.75
Vegan Mushroom Gravy,american,24.36,82.68,92.96,200,1264.8
Vegan Mapo Tofu,american,61.62,71.67,66.71,200,1133.55
Roasted Veggie Mason Jar Salad,asian,77.9,63.64,58.47,200,1092.39
Vegan Mashed Potatoes,american,14.33,118.43,67.24,200,1136.2
Low-key Iridofu Or Scrambled Tofu With Vegetables recipes,asian,101.51,43.88,54.6,200,1072.96
Vegan Sesame Grill,american,24.75,151.48,23.77,200,918.85
Tofu Salad,asian,54.38,93.69,51.92,200,1059.56
Vegan Caesar Dressing,american,44.83,63.86,91.31,200,1256.55
Vegan Basil “Chicken”,american,79.26,48.95,71.79,200,1158.95
Seitan,asian,129.48,49.26,21.25,200,906.21
"Dark Chocolate, Chia, and Cherry Pecan Bar",american,12.21,109.71,78.08,200,1190.4
Vegan Palak Paneer,indian,62.35,79.15,58.5,200,1092.5
Kale Slaw recipes,american,27.43,126.13,46.44,200,1032.2
Vegan BBQ teriyaki tofu,asian,75.83,67.16,57.01,200,1085.05
Easy Brown Rice & Veggie Wrap,chinese,26.67,126.35,46.98,200,1034.9
Asparagus Garlic Scape Pesto Spaghetti recipes,italian,28.43,75.26,96.31,200,1281.55
Whole Spelt Vegan Pasta,american,26.26,150.05,23.69,200,918.45
Roasted Veggie Brown Rice Buddha Bowl,asian,62.14,96.62,41.24,200,1006.2
Asparagus recipes,chinese,43.42,37.83,118.75,200,1393.75
Vegan Vanilla Cashew Cream,american,39.06,66.96,93.98,200,1269.9
Vegan Caprese Salad recipes,american,86.2,69.36,44.43,200,1022.11
Easy Green Chile Quesadilla Recipe With Sprouted Corn Tortillas,mexican,51.4,72.47,76.14,200,1180.74
Vegan Carrot Jalapeño Soup,american,24.33,105.65,70.01,200,1150.01
Vegan and Gluten-Free Gravy,american,62.22,103.37,34.41,200,972.05
15 Minute Cauliflower Fried Rice recipes,chinese,57.51,81.64,60.85,200,1104.25
Vegan Thai Cucumber Salad,south east asian,29.93,85.98,84.09,200,1220.45
Vegan Crispy Roasted Cauliflower,american,54.7,69.82,75.48,200,1177.4
Carnitas tenderloin tacos,mexican,74.03,57.13,68.84,200,1144.2
Vegan Broccoli Cream Soup Recipe,american,32.38,127.72,39.9,200,999.5
"Charred cauliflower, lemon & caper orzo",italian,31.22,150.21,18.57,200,892.85
Cheesy Vegan Brussels Sprout Chips,american,45.37,101.3,53.33,200,1066.65
Asian-Style Lettuce Wraps,japanese,82.2,88.46,29.34,200,946.7
Vegan Tofu and Spinach Scramble,american,81.85,45.49,72.66,200,1163.3
Spring Has Sprung Salad recipes,american,37.9,131.94,30.16,200,950.8
Super Healthy Vegan Hummus Wrap,american,36.5,104.4,59.1,200,1095.5
Spinach & Dill Pasta Salad,american,30.99,126.03,42.98,200,1014.9
Indian Cauliflower with Black Mustard Seeds,mediterranean,27.12,89.13,83.75,200,1218.75
Vegan Burrito Bowls with Cauliflower Rice,mexican,38.28,74.85,86.87,200,1234.35
Paleo and Vegan Pesto stuffed mushrooms,american,28.42,41.05,130.53,200,1452.65
Eggless Tofu Salad,asian,88.57,48.56,62.87,200,1114.35
"Vegan ""Pancit Bihon"" with Spaghetti Squash",american,20.65,132.35,47.01,200,1035.09
Peanut-Tamarind Dipping Sauce for Spring Rolls or Satay Recipe,south east asian,38.33,57.21,104.46,200,1322.3
Miso-Marinated Portobello Carpaccio (Vegan) Recipe,japanese,19.83,64.21,115.96,200,1379.8
Instant-Pot Vegan Cauliflower Queso,american,52.75,112.91,34.34,200,971.7
Eggless Salad,french,86.99,61.07,51.94,200,1059.7
"King Oyster Mushroom ""BLT"" with Basil Mayonnaise recipes",american,32.45,101.57,65.98,200,1129.9
Creamy Vegan Saag Paneer (With Tofu) Recipe,asian,51.95,83.53,64.52,200,1122.6
Flying Tofu Wedges,asian,94.5,42.93,62.57,200,1112.85
Crisp Tofu and Thai Cucumber Raita,south east asian,52.73,67.3,79.97,200,1199.85
Basil Scalloped Tomatoes and Croutons recipes,american,47.01,95.99,57.01,200,1085.09
Gigante Beans a la Zaytinya,american,34.03,112.92,53.04,200,1065.16
Rotini Tomato Pasta with 3 Minute Vegan Parmesan Cheese recipes,american,62.35,58.08,79.58,200,1197.94
Vegan: Japanese Simmered Daikon with Bok Choy and Edamame Recipe,world,42.65,144.63,12.72,200,863.6
"Braised Red Cabbage (Rotkraut) - (Vegan, Gluten Free, Low Fat)",american,25.93,121.37,52.71,200,1063.59
"Zucchini Noodles with Roasted Tomato Sauce (Gluten-Free, Vegan)",american,30.18,117.43,52.39,200,1061.95
Jicama and Pomelo Salad With Spicy Thai Dressing (Vegan) Recipe,south east asian,33.76,134.7,31.54,200,957.7
"Cumin Scented Kale with Onions, Tomatoes and Mushrooms (Vegan and Gluten Free)",american,54.63,130.74,14.63,200,873.15
"Spicy Sauteed Kale with Pan Roasted Garlic, Currants and Sun Flower Seeds (Vegan, gluten free)",american,30.69,100.91,68.4,200,1142
Coconut chutney,indian,22.21,89.58,88.21,200,1241.05
"Creamy, Zesty ""Cheese"" Dip",american,65.17,75.27,59.56,200,1097.8
Georgian Spinach Walnut Dip- Ispanakhis Pkhali,american,25.54,60.54,113.92,200,1369.6
Spicy roast chickpeas,american,41.88,134.16,23.96,200,919.8
Sesame stir-fry wrap,chinese,32.51,116.43,51.06,200,1055.3
Minted green bean salad,american,23.42,92.97,83.61,200,1218.05
Minted green bean salad,american,23.54,94.11,82.34,200,1211.66
Raspberry ripple chia pudding,british,32.24,130.58,37.19,200,985.99
Classic Cashew Cheese,mediterranean,61.55,71.29,67.15,200,1135.71
Keep it green sandwich,south east asian,29.66,106.18,64.16,200,1120.8
Chilli-charred Brussels sprouts,mediterranean,30.59,89.79,79.62,200,1198.1
ORANGE TARRAGON FRUIT LEATHER,american,19.61,133.02,47.37,200,1036.85
Barley & broccoli risotto with lemon & basil,italian,24.29,133.94,41.76,200,1008.76
Dairy Free Tzatziki,mediterranean,36.71,95.66,67.63,200,1138.15
Kohlrabi Fritters,south east asian,34.57,94.02,71.41,200,1157.05
Fennel Pistachio Cauliflower Steaks,mediterranean,37.06,97.78,65.16,200,1125.8
Cauliflower steaks with roasted red pepper & olive salsa,american,34.05,83.62,82.34,200,1211.74
Citrus Lime Tofu Salad,asian,69.09,51.64,79.27,200,1196.35
Beefless Ground Beef,american,96.86,26.75,76.39,200,1181.95
Toasted Paprika Chickpeas,mediterranean,38.41,125.16,36.43,200,982.15
Healthy Broccoli and Cheese Soup,american,77.59,113.14,9.27,200,846.35
Garlic Mashed Cauliflower,mediterranean,31.56,89.24,79.2,200,1196
Cauliflower Steaks with Olive Salsa and Roasted Tomato Sauce,american,31.28,129.27,39.45,200,997.25
Zucchini Cannelloni with Cashew sauce,italian,54.44,101.92,43.64,200,1018.2
Summertime Lentil Salad With Mango,indian,35.91,121.82,42.26,200,1011.26
Cook the Book: Garlicky Mushrooms and Kale,american,58.78,119.3,21.92,200,909.6
My children love beet salad!,american,25.44,114.48,60.09,200,1100.49
Sautéed Spinach,french,64.16,87.11,48.74,200,1043.74
Broccoli Slaw w/ Mustard Vinaigrette,american,29.62,131.38,38.99,200,994.91
Pesto Stuffed Mushrooms,italian,36.69,91.88,71.43,200,1157.15
West Indian spiced aubergine curry,indian,23.41,144.54,32.05,200,960.25
Asian Bulgur Wheat Salad,chinese,27.15,133.43,39.43,200,997.19
Cauliflower Cilantro Salad Recipe,mediterranean,23.25,88.11,88.64,200,1243.2
"Spicy, Peanutty Udon with Kale",american,42.45,111.75,45.8,200,1029
Satay noodle soup,asian,25.38,101.12,73.49,200,1167.41
"Tempeh ""Chicken"" Salad",american,71.71,63.55,64.75,200,1123.79
Curried Cauliflower Soup with Roasted Tomatoes,american,29.45,101.45,69.1,200,1145.5
Japanese Tabbouleh with Cilantro & Tofu,asian,92.47,39.59,67.94,200,1139.7
West Coast Avocado Toast,american,38.5,107.56,53.93,200,1069.61
Charred Green Beans with Mustard Vinaigrette & Hazelnuts,american,24.1,66.97,108.93,200,1344.65
My children love beet salad!,american,24.72,113.77,61.51,200,1107.55
Cider & Honey Kohlrabi Slaw with Radicchio,chinese,14.65,122.98,62.37,200,1111.85
Tofu Jerky,asian,102.13,41.83,56.04,200,1080.2
Roasted Vegetable & Black Bean Tacos,mexican,27.16,132.65,40.19,200,1000.95
"Crispy Potato, Onion, and Mushroom Rösti Recipe",french,15.69,99.65,84.66,200,1223.3
Quinoa Chickpea Salad with Roasted Red Pepper Hummus Dressing,mediterranean,42.53,142.22,15.24,200,876.16
Creamy Matcha White Chocolate Pudding,british,18.56,114.78,66.66,200,1133.3
General Tso's Cauliflower,chinese,38.52,85.33,76.14,200,1180.66
Savory Tempeh Crumbles,american,85.18,48.46,66.36,200,1131.8
Roasted Cauliflower with Tahini and Goji Berries Recipe,mediterranean,32.27,98.76,68.96,200,1144.76
Thai Zucchini-Coconut Soup,south east asian,19.62,104.52,75.86,200,1179.3
Spice-crusted tofu with kumquat radish salad,asian,57.52,77.24,65.24,200,1126.2
Gobhi Mussallam,indian,47.45,79.51,73.04,200,1165.2
Beans and Mushrooms,american,23.96,110.98,65.06,200,1125.3
Feta Stuffed Eggplant Polpetti,mediterranean,31.9,135.56,32.53,200,962.61
Stir-Fried Broccoli and Shiitake Mushrooms with Oyster Sauce,mediterranean,38.89,108.1,53,200,1064.96
Stir-Fried Garlic Eggplant with Ground Pork Recipe,south east asian,41.9,60.4,97.7,200,1288.5
Fresh Tomato Soup,italian,18.98,101.64,79.38,200,1196.9
Raw Harvest Kale Salad,american,16.76,121.22,62.02,200,1110.1
Basic Chili Paste to Replace Chili Powder Recipe,american,78.93,87.98,33.09,200,965.45
"Avocado with Pomegranate Molasses, Tomatoes, Citrus, and Basil",american,18.34,90.79,90.87,200,1254.35
Asian-style Cabbage Slaw w/Tofu and Crunchy Ramen,japanese,40.48,110.15,49.37,200,1046.85
"Carrot, Ginger, and Basil Soup Recipe",american,60.68,108.01,31.31,200,956.55
Radishes With Avocado Dip From 'The VB6 Cookbook',american,29.64,106.78,63.59,200,1117.99
Sichuan-Style Braised Eggplant With Pickled Chilies and Garlic (Yu Xiang Qie Zi) Recipe,chinese,20.15,114.39,65.46,200,1127.3
Saag Paneer,indian,80.81,86.64,32.55,200,962.75
Vegan Thanksgiving Sandwich,american,68.82,83.34,47.84,200,1039.2
Vegan BLT,american,38.29,82.23,79.48,200,1197.4
VEGAN COLESLAW,american,27.82,72.75,99.43,200,1297.15
